model,val_type,accuracy,precision,recall,f1
xgb,LOSO,0.6446,0.6907,0.6446,0.6025
xgb,L2SO,0.636,0.6435,0.636,0.6023
xgb,L3SO,0.6279,0.6523,0.6279,0.598
xgb,KF(5),0.6523,0.7326,0.6523,0.6327
xgb,KF(10),0.7173,0.8119,0.7173,0.7045
knn,LOSO,0.5999,0.6815,0.5999,0.5945
knn,L2SO,0.623,0.6625,0.623,0.6181
knn,L3SO,0.6431,0.6433,0.6431,0.6373
knn,KF(5),0.6245,0.6628,0.6245,0.6262
knn,KF(10),0.6712,0.7342,0.6712,0.6751
rf,LOSO,0.6682,0.7256,0.6682,0.6388
rf,L2SO,0.7324,0.7594,0.7324,0.698
rf,L3SO,0.6388,0.6599,0.6388,0.6291
rf,KF(5),0.6961,0.7516,0.6961,0.6925
rf,KF(10),0.7176,0.7839,0.7176,0.7052
dt,LOSO,0.6121,0.6213,0.6121,0.5744
dt,L2SO,0.598,0.6236,0.598,0.5857
dt,L3SO,0.5978,0.6487,0.5978,0.595
dt,KF(5),0.6532,0.6887,0.6532,0.6493
dt,KF(10),0.7121,0.7804,0.7121,0.6977
