model,val_type,accuracy,precision,recall,f1
xgb,LOSO,0.5568,0.6769,0.5568,0.5264
xgb,L2SO,0.5828,0.6657,0.5828,0.5462
xgb,L3SO,0.6052,0.6485,0.6052,0.5874
xgb,KF(5),0.5628,0.7517,0.5628,0.5758
xgb,KF(10),0.6392,0.7741,0.6392,0.6391
knn,LOSO,0.5383,0.5863,0.5383,0.5347
knn,L2SO,0.4983,0.5745,0.4983,0.5032
knn,L3SO,0.5526,0.5809,0.5526,0.553
knn,KF(5),0.6559,0.7025,0.6559,0.6696
knn,KF(10),0.6821,0.735,0.6821,0.6924
rf,LOSO,0.6032,0.6525,0.6032,0.5947
rf,L2SO,0.5667,0.6029,0.5667,0.5681
rf,L3SO,0.5558,0.5757,0.5558,0.5464
rf,KF(5),0.6517,0.7315,0.6517,0.6562
rf,KF(10),0.7132,0.7989,0.7132,0.7166
dt,LOSO,0.5269,0.5499,0.5269,0.5285
dt,L2SO,0.5887,0.605,0.5887,0.5718
dt,L3SO,0.5776,0.5988,0.5776,0.5661
dt,KF(5),0.6525,0.7168,0.6525,0.6602
dt,KF(10),0.6802,0.7637,0.6802,0.6969
